ID	limma	edgeR	DESeq2	NOISeq
XM_027364326.1	1	1	1	1
XM_027364343.1	1	1	1	1
XM_027364344.1	1	1	1	1
XM_027364574.1	1	1	1	1
XM_027364575.1	1	1	1	1
XM_027364608.1	1	1	1	1
XM_027364609.1	1	1	1	1
XM_027364652.1	1	1	1	1
XM_027364753.1	1	1	1	1
XM_027364808.1	1	1	1	1
XM_027364825.1	1	1	1	1
XM_027364902.1	1	1	1	1
XM_027364953.1	1	1	1	1
XM_027364954.1	1	1	1	1
XM_027364957.1	1	1	1	1
XM_027365003.1	1	1	1	1
XM_027365108.1	1	1	1	1
XM_027365111.1	1	1	1	1
XM_027365167.1	1	1	1	1
XM_027365244.1	1	1	1	1
XM_027365251.1	1	1	1	1
XM_027365252.1	1	1	1	1
XM_027365282.1	1	1	1	1
XM_027365283.1	1	1	1	1
XM_027365361.1	1	1	1	1
XM_027365556.1	1	1	1	1
XM_027365564.1	1	1	1	1
XM_027365601.1	1	1	1	1
XM_027365602.1	1	1	1	1
XM_027365603.1	1	1	1	1
XM_027365613.1	1	1	1	1
XM_027365614.1	1	1	1	1
XM_027365635.1	1	1	1	1
XM_027365884.1	1	1	1	1
XM_027365885.1	1	1	1	1
XM_027366024.1	1	1	1	1
XM_027366055.1	1	1	1	1
XM_027366108.1	1	1	1	1
XM_027366109.1	1	1	1	1
XM_027366110.1	1	1	1	1
XM_027366111.1	1	1	1	1
XM_027366112.1	1	1	1	1
XM_027366144.1	1	1	1	1
XM_027366146.1	1	1	1	1
XM_027366194.1	1	1	1	1
XM_027366441.1	1	1	1	1
XM_027366450.1	1	1	1	1
XM_027366533.1	1	1	1	1
XM_027366534.1	1	1	1	1
XM_027366535.1	1	1	1	1
XM_027366536.1	1	1	1	1
XM_027366590.1	1	1	1	1
XM_027366615.1	1	1	1	1
XM_027366660.1	1	1	1	1
XM_027366742.1	1	1	1	1
XM_027366861.1	1	1	1	1
XM_027366897.1	1	1	1	1
XM_027366919.1	1	1	1	1
XM_027366936.1	1	1	1	1
XM_027366955.1	1	1	1	1
XM_027366963.1	1	1	1	1
XM_027366971.1	1	1	1	1
XM_027366978.1	1	1	1	1
XM_027367036.1	1	1	1	1
XM_027367037.1	1	1	1	1
XM_027367124.1	1	1	1	1
XM_027367125.1	1	1	1	1
XM_027367187.1	1	1	1	1
XM_027367195.1	1	1	1	1
XM_027367236.1	1	1	1	1
XM_027367238.1	1	1	1	1
XM_027367241.1	1	1	1	1
XM_027367242.1	1	1	1	1
XM_027367295.1	1	1	1	1
XM_027367296.1	1	1	1	1
XM_027367417.1	1	1	1	1
XM_027367435.1	1	1	1	1
XM_027367436.1	1	1	1	1
XM_027367447.1	1	1	1	1
XM_027367671.1	1	1	1	1
XM_027367795.1	1	1	1	1
XM_027367901.1	1	1	1	1
XM_027367904.1	1	1	1	1
XM_027367929.1	1	1	1	1
XM_027368073.1	1	1	1	1
XM_027368084.1	1	1	1	1
XM_027368160.1	1	1	1	1
XM_027368298.1	1	1	1	1
XM_027368306.1	1	1	1	1
XM_027368317.1	1	1	1	1
XM_027368427.1	1	1	1	1
XM_027368444.1	1	1	1	1
XM_027368445.1	1	1	1	1
XM_027368446.1	1	1	1	1
XM_027368447.1	1	1	1	1
XM_027368448.1	1	1	1	1
XM_027368486.1	1	1	1	1
XM_027368491.1	1	1	1	1
XM_027368506.1	1	1	1	1
XM_027368509.1	1	1	1	1
XM_027368597.1	1	1	1	1
XM_027368606.1	1	1	1	1
XM_027368613.1	1	1	1	1
XM_027368669.1	1	1	1	1
XM_027368681.1	1	1	1	1
XM_027368745.1	1	1	1	1
XM_027368869.1	1	1	1	1
XM_027368870.1	1	1	1	1
XM_027368875.1	1	1	1	1
XM_027368922.1	1	1	1	1
XM_027368947.1	1	1	1	1
XM_027369044.1	1	1	1	1
XM_027369045.1	1	1	1	1
XM_027369054.1	1	1	1	1
XM_027369056.1	1	1	1	1
XM_027369073.1	1	1	1	1
XM_027369075.1	1	1	1	1
XM_027369082.1	1	1	1	1
XM_027369084.1	1	1	1	1
XM_027369267.1	1	1	1	1
XM_027369348.1	1	1	1	1
XM_027369477.1	1	1	1	1
XM_027369499.1	1	1	1	1
XM_027369503.1	1	1	1	1
XM_027369541.1	1	1	1	1
XM_027369545.1	1	1	1	1
XM_027369546.1	1	1	1	1
XM_027369547.1	1	1	1	1
XM_027369557.1	1	1	1	1
XM_027369599.1	1	1	1	1
XM_027369688.1	1	1	1	1
XM_027369719.1	1	1	1	1
XM_027369720.1	1	1	1	1
XM_027369721.1	1	1	1	1
XM_027369722.1	1	1	1	1
XM_027369732.1	1	1	1	1
XM_027369804.1	1	1	1	1
XM_027369895.1	1	1	1	1
XM_027369991.1	1	1	1	1
XM_027370050.1	1	1	1	1
XM_027370107.1	1	1	1	1
XM_027370252.1	1	1	1	1
XM_027370343.1	1	1	1	1
XM_027370382.1	1	1	1	1
XM_027370455.1	1	1	1	1
XM_027370456.1	1	1	1	1
XM_027370457.1	1	1	1	1
XM_027370459.1	1	1	1	1
XM_027370480.1	1	1	1	1
XM_027370529.1	1	1	1	1
XM_027370532.1	1	1	1	1
XM_027370548.1	1	1	1	1
XM_027370568.1	1	1	1	1
XM_027370641.1	1	1	1	1
XM_027370665.1	1	1	1	1
XM_027370692.1	1	1	1	1
XM_027370695.1	1	1	1	1
XM_027370709.1	1	1	1	1
XM_027370724.1	1	1	1	1
XM_027370759.1	1	1	1	1
XM_027370761.1	1	1	1	1
XM_027370765.1	1	1	1	1
XM_027370767.1	1	1	1	1
XM_027370772.1	1	1	1	1
XM_027370791.1	1	1	1	1
XM_027370829.1	1	1	1	1
XM_027370830.1	1	1	1	1
XM_027370835.1	1	1	1	1
XM_027370857.1	1	1	1	1
XM_027370951.1	1	1	1	1
XM_027370996.1	1	1	1	1
XM_027371000.1	1	1	1	1
XM_027371049.1	1	1	1	1
XM_027371062.1	1	1	1	1
XM_027371093.1	1	1	1	1
XM_027371094.1	1	1	1	1
XM_027371103.1	1	1	1	1
XM_027371140.1	1	1	1	1
XM_027371142.1	1	1	1	1
XM_027371145.1	1	1	1	1
XM_027371189.1	1	1	1	1
XM_027371190.1	1	1	1	1
XM_027371305.1	1	1	1	1
XM_027371322.1	1	1	1	1
XM_027371323.1	1	1	1	1
XM_027371390.1	1	1	1	1
XM_027371391.1	1	1	1	1
XM_027371490.1	1	1	1	1
XM_027371491.1	1	1	1	1
XM_027371542.1	1	1	1	1
XM_027371605.1	1	1	1	1
XM_027371606.1	1	1	1	1
XM_027371607.1	1	1	1	1
XM_027371633.1	1	1	1	1
XM_027371634.1	1	1	1	1
XM_027371635.1	1	1	1	1
XM_027371691.1	1	1	1	1
XM_027371801.1	1	1	1	1
XM_027371851.1	1	1	1	1
XM_027371926.1	1	1	1	1
XM_027371994.1	1	1	1	1
XM_027372027.1	1	1	1	1
XM_027372035.1	1	1	1	1
XM_027372109.1	1	1	1	1
XM_027372110.1	1	1	1	1
XM_027372126.1	1	1	1	1
XM_027372149.1	1	1	1	1
XM_027372156.1	1	1	1	1
XM_027372174.1	1	1	1	1
XM_027372188.1	1	1	1	1
XM_027372203.1	1	1	1	1
XM_027372217.1	1	1	1	1
XM_027372388.1	1	1	1	1
XM_027372425.1	1	1	1	1
XM_027372440.1	1	1	1	1
XM_027372490.1	1	1	1	1
XM_027372510.1	1	1	1	1
XM_027372536.1	1	1	1	1
XM_027372663.1	1	1	1	1
XM_027372753.1	1	1	1	1
XM_027372785.1	1	1	1	1
XM_027372864.1	1	1	1	1
XM_027372876.1	1	1	1	1
XM_027372879.1	1	1	1	1
XM_027372899.1	1	1	1	1
XM_027372926.1	1	1	1	1
XM_027372982.1	1	1	1	1
XM_027372999.1	1	1	1	1
XM_027373074.1	1	1	1	1
XM_027373096.1	1	1	1	1
XM_027373151.1	1	1	1	1
XM_027373214.1	1	1	1	1
XM_027373239.1	1	1	1	1
XM_027373240.1	1	1	1	1
XM_027373245.1	1	1	1	1
XM_027373269.1	1	1	1	1
XM_027373271.1	1	1	1	1
XM_027373314.1	1	1	1	1
XM_027373321.1	1	1	1	1
XM_027373347.1	1	1	1	1
XM_027373349.1	1	1	1	1
XM_027373425.1	1	1	1	1
XM_027373426.1	1	1	1	1
XM_027373463.1	1	1	1	1
XM_027373471.1	1	1	1	1
XM_027373605.1	1	1	1	1
XM_027373606.1	1	1	1	1
XM_027373607.1	1	1	1	1
XM_027373608.1	1	1	1	1
XM_027373623.1	1	1	1	1
XM_027373673.1	1	1	1	1
XM_027373725.1	1	1	1	1
XM_027373726.1	1	1	1	1
XM_027373727.1	1	1	1	1
XM_027373728.1	1	1	1	1
XM_027373758.1	1	1	1	1
XM_027373790.1	1	1	1	1
XM_027373811.1	1	1	1	1
XM_027373886.1	1	1	1	1
XM_027373887.1	1	1	1	1
XM_027373900.1	1	1	1	1
XM_027374006.1	1	1	1	1
XM_027374008.1	1	1	1	1
XM_027374045.1	1	1	1	1
XM_027374046.1	1	1	1	1
XM_027374052.1	1	1	1	1
XM_027374131.1	1	1	1	1
XM_027374155.1	1	1	1	1
XM_027374264.1	1	1	1	1
XM_027374366.1	1	1	1	1
XM_027374558.1	1	1	1	1
XM_027374559.1	1	1	1	1
XM_027374561.1	1	1	1	1
XM_027374562.1	1	1	1	1
XM_027374567.1	1	1	1	1
XM_027374568.1	1	1	1	1
XM_027374569.1	1	1	1	1
XM_027374570.1	1	1	1	1
XM_027374623.1	1	1	1	1
XM_027374624.1	1	1	1	1
XM_027374650.1	1	1	1	1
XM_027374682.1	1	1	1	1
XM_027374683.1	1	1	1	1
XM_027374684.1	1	1	1	1
XM_027374780.1	1	1	1	1
XM_027374818.1	1	1	1	1
XM_027374819.1	1	1	1	1
XM_027374831.1	1	1	1	1
XM_027374835.1	1	1	1	1
XM_027374839.1	1	1	1	1
XM_027374867.1	1	1	1	1
XM_027374987.1	1	1	1	1
XM_027375021.1	1	1	1	1
XM_027375022.1	1	1	1	1
XM_027375023.1	1	1	1	1
XM_027375024.1	1	1	1	1
XM_027375049.1	1	1	1	1
XM_027375169.1	1	1	1	1
XM_027375170.1	1	1	1	1
XM_027375186.1	1	1	1	1
XM_027375202.1	1	1	1	1
XM_027375204.1	1	1	1	1
XM_027375235.1	1	1	1	1
XM_027375236.1	1	1	1	1
XM_027375261.1	1	1	1	1
XM_027375277.1	1	1	1	1
XM_027375317.1	1	1	1	1
XM_027375418.1	1	1	1	1
XM_027375510.1	1	1	1	1
XM_027375676.1	1	1	1	1
XM_027375685.1	1	1	1	1
XM_027375686.1	1	1	1	1
XM_027375687.1	1	1	1	1
XM_027375688.1	1	1	1	1
XM_027375689.1	1	1	1	1
XM_027375690.1	1	1	1	1
XM_027375691.1	1	1	1	1
XM_027375693.1	1	1	1	1
XM_027375697.1	1	1	1	1
XM_027375890.1	1	1	1	1
XM_027375903.1	1	1	1	1
XM_027376015.1	1	1	1	1
XM_027376051.1	1	1	1	1
XM_027376052.1	1	1	1	1
XM_027376136.1	1	1	1	1
XM_027376148.1	1	1	1	1
XM_027376150.1	1	1	1	1
XM_027376186.1	1	1	1	1
XM_027376187.1	1	1	1	1
XM_027376271.1	1	1	1	1
XM_027376274.1	1	1	1	1
XM_027376275.1	1	1	1	1
XM_027376347.1	1	1	1	1
XM_027376348.1	1	1	1	1
XM_027376349.1	1	1	1	1
XM_027376355.1	1	1	1	1
XM_027376390.1	1	1	1	1
XM_027376490.1	1	1	1	1
XM_027376677.1	1	1	1	1
XM_027376701.1	1	1	1	1
XM_027376729.1	1	1	1	1
XM_027376768.1	1	1	1	1
XM_027376792.1	1	1	1	1
XM_027376828.1	1	1	1	1
XM_027376829.1	1	1	1	1
XM_027376919.1	1	1	1	1
XM_027376928.1	1	1	1	1
XM_027376960.1	1	1	1	1
XM_027376981.1	1	1	1	1
XM_027376984.1	1	1	1	1
XM_027377022.1	1	1	1	1
XM_027377062.1	1	1	1	1
XM_027377063.1	1	1	1	1
XM_027377064.1	1	1	1	1
XM_027377097.1	1	1	1	1
XM_027377100.1	1	1	1	1
XM_027377119.1	1	1	1	1
XM_027377139.1	1	1	1	1
XM_027377157.1	1	1	1	1
XM_027377304.1	1	1	1	1
XM_027377314.1	1	1	1	1
XM_027377372.1	1	1	1	1
XM_027377373.1	1	1	1	1
XM_027377374.1	1	1	1	1
XM_027377375.1	1	1	1	1
XM_027377417.1	1	1	1	1
XM_027377433.1	1	1	1	1
XM_027377574.1	1	1	1	1
XM_027377589.1	1	1	1	1
XM_027377639.1	1	1	1	1
