ID	FDR
XM_027379260.1	9.77385664173609e-16
XM_027381742.1	1.02270296392709e-15
XM_027352731.1	1.03971009731205e-15
XM_027369414.1	1.04590906308437e-15
XM_027373318.1	1.11124331137086e-15
XM_027378553.1	1.14633974968834e-15
XM_027373313.1	1.14749269585968e-15
XM_027382408.1	1.15449896325879e-15
XM_027371252.1	1.17379579625225e-15
XM_027375603.1	1.2467512525223e-15
XM_027365816.1	1.2742436286354e-15
XM_027351876.1	1.28258435967212e-15
XM_027360634.1	1.28258435967212e-15
XM_027382103.1	1.28357036980896e-15
XM_027370344.1	1.34168958233983e-15
XM_027381968.1	1.34168958233983e-15
XM_027370155.1	1.39154226791065e-15
XM_027366679.1	1.5236736338846e-15
XM_027360978.1	1.59348881273247e-15
XM_027361576.1	1.67163116009743e-15
XM_027372106.1	1.68317757769107e-15
XM_027362906.1	1.76217130579134e-15
XM_027358343.1	1.95507275804971e-15
XM_027373316.1	2.04441216743513e-15
XM_027377986.1	2.04441216743513e-15
XM_027365313.1	2.08214237354314e-15
XM_027356775.1	2.09192861832989e-15
XM_027358517.1	2.18898797623492e-15
XM_027378584.1	2.1911989698229e-15
XR_003476715.1	2.25455091210087e-15
XM_027356376.1	2.27683712152742e-15
XM_027352583.1	2.51466004347696e-15
XM_027364396.1	2.56865368401617e-15
XM_027383413.1	2.64813650547545e-15
XM_027364964.1	2.6643874413315e-15
XM_027382188.1	2.67227159956488e-15
XR_003476974.1	2.69202182455196e-15
XM_027374285.1	2.79622539568574e-15
XM_027358930.1	2.79994985803015e-15
XM_027371800.1	2.81725649034335e-15
XM_027380961.1	2.81725649034335e-15
XM_027365584.1	2.82319564650879e-15
XR_003476174.1	2.90018242602246e-15
XM_027372143.1	3.16370704767981e-15
XM_027350951.1	3.1960030138967e-15
XM_027351068.1	3.1960030138967e-15
XM_027380421.1	3.19683107740941e-15
XM_027367367.1	3.25233371246943e-15
XM_027365867.1	3.25877492577367e-15
XM_027374107.1	3.46475230601064e-15
XM_027358070.1	3.53967912769362e-15
XM_027380910.1	3.54447605319495e-15
XM_027368092.1	3.67114755310635e-15
XM_027383822.1	3.69211224589663e-15
XM_027357536.1	3.69653995257635e-15
XR_003477129.1	3.84117154463934e-15
XM_027364574.1	3.91655902113837e-15
XM_027372307.1	3.91655902113837e-15
XM_027356405.1	4.01279562796919e-15
XM_027370268.1	4.04719441980015e-15
XM_027373327.1	4.25477665814981e-15
XM_027367360.1	4.27049051768863e-15
XM_027375920.1	4.31034582503804e-15
XR_003477682.1	4.34146770543483e-15
XM_027378225.1	4.45336141486134e-15
XM_027361279.1	4.4614336326294e-15
XM_027351600.1	4.57544304154392e-15
XM_027356378.1	4.57544304154392e-15
XM_027380552.1	4.57544304154392e-15
XM_027366031.1	4.6616775635392e-15
XM_027354910.1	4.66620410646433e-15
XM_027357843.1	4.77744610985174e-15
XM_027367363.1	4.77744610985174e-15
XM_027376739.1	4.81089929299192e-15
XM_027381833.1	4.87211234443671e-15
XM_027366408.1	5.04063820573779e-15
XM_027365273.1	5.04836667516665e-15
XM_027357721.1	5.05151537243351e-15
XM_027381556.1	5.20330861363666e-15
XM_027351250.1	5.25691191420752e-15
XM_027383759.1	5.478598683598e-15
XM_027352316.1	5.48314574949058e-15
XM_027375614.1	5.61245244765409e-15
XM_027378228.1	5.73839910992114e-15
XM_027357833.1	5.92412303367832e-15
XM_027357537.1	5.98264499930515e-15
XM_027383641.1	6.00711643074517e-15
XM_027355531.1	6.16697736494338e-15
XM_027364295.1	6.39786479634121e-15
XM_027365074.1	6.77541649814157e-15
XM_027375571.1	7.29144518813016e-15
XM_027368214.1	7.54920749869183e-15
XM_027352699.1	7.56277655906352e-15
XM_027367190.1	7.70281909178605e-15
XR_003477935.1	7.73916300598047e-15
XM_027364541.1	7.8549472081218e-15
XM_027382421.1	8.10615905979445e-15
XM_027362049.1	8.40080724969017e-15
XM_027378052.1	8.58241691858085e-15
XM_027354927.1	8.64492956227407e-15
XM_027357805.1	9.26881483095566e-15
XM_027353577.1	9.43165229737546e-15
XM_027363943.1	9.51121739478332e-15
XM_027373519.1	9.61133824309927e-15
XM_027363321.1	1.02205156205411e-14
XR_003476992.1	1.04154681240378e-14
XM_027357535.1	1.04198817209281e-14
XM_027365353.1	1.04560703785471e-14
XM_027354204.1	1.05548487718693e-14
XM_027370156.1	1.05713895305638e-14
XM_027359268.1	1.07096002382241e-14
XM_027378870.1	1.07477481123942e-14
XM_027354093.1	1.09201127784654e-14
XM_027356693.1	1.1656477264832e-14
XM_027373863.1	1.18999060362784e-14
XM_027369412.1	1.1911439540332e-14
XM_027362509.1	1.20213315849463e-14
XM_027378590.1	1.22516894545802e-14
XM_027378053.1	1.25878824156597e-14
XM_027353719.1	1.29024306499661e-14
XM_027367820.1	1.30774204588924e-14
XM_027359178.1	1.38400966914628e-14
XM_027361621.1	1.44394611555375e-14
XM_027381509.1	1.50568569434709e-14
XM_027353370.1	1.62079282592231e-14
XM_027362108.1	1.63415089898983e-14
XM_027376627.1	1.68435482003161e-14
XM_027378612.1	1.76644932183033e-14
XM_027362345.1	1.78172938614917e-14
XM_027364635.1	1.78621574640533e-14
XM_027373328.1	1.7926239609684e-14
XM_027367677.1	1.79819137661764e-14
XM_027375910.1	1.81995215741368e-14
XM_027362026.1	1.85444734014937e-14
XM_027370651.1	1.8655193104091e-14
XM_027370902.1	1.87022416627704e-14
XM_027380336.1	1.88206105040271e-14
XM_027382130.1	1.98282488607707e-14
XM_027378341.1	2.00593929227491e-14
XM_027352729.1	2.01263763380533e-14
XM_027371429.1	2.02389031982941e-14
XM_027368862.1	2.05765602861833e-14
XM_027371430.1	2.10625420709561e-14
XM_027363191.1	2.12406589542364e-14
XM_027372585.1	2.17207342389615e-14
XM_027369236.1	2.20454495496849e-14
XM_027361468.1	2.20528907889735e-14
XM_027362743.1	2.20747117536175e-14
XM_027376236.1	2.21813873136951e-14
XM_027369550.1	2.6409957191873e-14
XM_027377670.1	2.75412483742141e-14
XM_027367711.1	2.75597421074908e-14
XM_027373329.1	2.75971466138259e-14
XR_003477442.1	2.76969487202657e-14
XM_027371251.1	2.82325251447541e-14
XM_027363848.1	2.9008067433125e-14
XM_027379172.1	2.98144521555406e-14
XM_027364297.1	3.05487502081172e-14
XM_027373339.1	3.05912794936101e-14
XM_027358429.1	3.23084528883452e-14
XM_027372562.1	3.25211485260273e-14
XM_027377357.1	3.25746668753936e-14
XM_027353248.1	3.28454834511049e-14
XM_027358144.1	3.30137084253332e-14
XM_027360128.1	3.32381903247234e-14
XM_027371816.1	3.32381903247234e-14
XM_027361801.1	3.32568822780233e-14
XM_027368951.1	3.400010995008e-14
XM_027361614.1	3.44843135973955e-14
XM_027368918.1	3.54547581288223e-14
XM_027354887.1	3.58219198035617e-14
XM_027359354.1	3.60104087828154e-14
XM_027366979.1	3.70999754938786e-14
XM_027359274.1	3.79640847753431e-14
XM_027383751.1	3.8027349670882e-14
XM_027375907.1	3.81406749120944e-14
XM_027383154.1	3.85476548799842e-14
XM_027365439.1	3.86808506758587e-14
XM_027372788.1	3.86808506758587e-14
XM_027365380.1	3.87902916111027e-14
XM_027372909.1	3.91320513004437e-14
XM_027381512.1	4.04593958964752e-14
XM_027369667.1	4.10926830310235e-14
XM_027381490.1	4.12336817063966e-14
XM_027353700.1	4.12983031218623e-14
XM_027376975.1	4.12983031218623e-14
XM_027361522.1	4.3765840099847e-14
XM_027381868.1	4.38325679507897e-14
XM_027375911.1	4.51801949453179e-14
XM_027367362.1	4.5580383625948e-14
XR_003475561.1	4.60425069226718e-14
XM_027374894.1	4.72697247256372e-14
XM_027375272.1	4.75005188633955e-14
XM_027377315.1	4.85425166518839e-14
XM_027367821.1	4.90748862453682e-14
XM_027364963.1	4.95827552131547e-14
XM_027350813.1	5.00448398352672e-14
XM_027373110.1	5.0645206630984e-14
XM_027376864.1	5.0645206630984e-14
XM_027370833.1	5.19371076812079e-14
XM_027379171.1	5.19371076812079e-14
XM_027382420.1	5.26316589904151e-14
XM_027353693.1	5.53646381159055e-14
XM_027380873.1	5.5567330378167e-14
XM_027382253.1	5.66317845043378e-14
XM_027356769.1	5.87846163019613e-14
XM_027356375.1	5.88525183739128e-14
XM_027366312.1	5.88525183739128e-14
XM_027377991.1	5.88525183739128e-14
XM_027376726.1	5.9341044105986e-14
XR_003476717.1	5.97939790590155e-14
XM_027377571.1	6.04407032853694e-14
XM_027379807.1	6.09080297668369e-14
XM_027377832.1	6.27474207067947e-14
XM_027365861.1	6.39577835642455e-14
XR_003477434.1	6.43266204450133e-14
XM_027356771.1	6.83516868587771e-14
XM_027372126.1	6.83678179770356e-14
XM_027362593.1	7.00203748673855e-14
XM_027351485.1	7.02078363095768e-14
XM_027374574.1	7.02078363095768e-14
XR_003476702.1	7.25119002788976e-14
XM_027367186.1	7.29413395318732e-14
XM_027364289.1	7.49124906065097e-14
XM_027369958.1	7.53354526903902e-14
XM_027377443.1	7.53354526903902e-14
XM_027351597.1	7.54251944718798e-14
XM_027365174.1	7.54251944718798e-14
XM_027363303.1	7.59865925809719e-14
XM_027373607.1	8.36542603340277e-14
XM_027360949.1	8.55757362127445e-14
XM_027362105.1	8.60510884025213e-14
XM_027366240.1	8.60510884025213e-14
XM_027375919.1	8.60510884025213e-14
XM_027371808.1	8.72911790256089e-14
XM_027383256.1	8.83661735656096e-14
XM_027379017.1	9.20731343487005e-14
XM_027369155.1	9.25441163444789e-14
XM_027361245.1	9.62979540063187e-14
XM_027374593.1	9.71243913004854e-14
XM_027358234.1	1.00077233532966e-13
XM_027373601.1	1.02459254464254e-13
XM_027379438.1	1.04100990341725e-13
XM_027372508.1	1.04191966772062e-13
XM_027376737.1	1.04609704205521e-13
XM_027380036.1	1.05443938083861e-13
XM_027371503.1	1.07067433760708e-13
XM_027380981.1	1.07067433760708e-13
XM_027371728.1	1.07084081184832e-13
XM_027365596.1	1.07278694044609e-13
XM_027369687.1	1.07278694044609e-13
XM_027363739.1	1.08658545209165e-13
XM_027378157.1	1.10543750482907e-13
XM_027365839.1	1.21135898151207e-13
XM_027357866.1	1.22148175285985e-13
XM_027371044.1	1.29540031557052e-13
XM_027360140.1	1.31892648724733e-13
XM_027379063.1	1.32818546988786e-13
XM_027365880.1	1.43015304457766e-13
XM_027357750.1	1.43693566500633e-13
XM_027372123.1	1.43782572007448e-13
XM_027369246.1	1.47347147631869e-13
XM_027375669.1	1.47347147631869e-13
XM_027355671.1	1.48385409090584e-13
XM_027362493.1	1.48385409090584e-13
XM_027372109.1	1.48385409090584e-13
XM_027359229.1	1.48754108976246e-13
XM_027366241.1	1.55961859259118e-13
XM_027361439.1	1.60558574195356e-13
XM_027355692.1	1.62931847884897e-13
XM_027366087.1	1.70623681340765e-13
XM_027374289.1	1.70623681340765e-13
XM_027353694.1	1.73968163679766e-13
XM_027383665.1	1.82450322804945e-13
XM_027365077.1	1.87732651679215e-13
XM_027376654.1	1.89987272641125e-13
XM_027353790.1	1.90262456632511e-13
XM_027355467.1	1.90262456632511e-13
XM_027364737.1	1.90262456632511e-13
XM_027376264.1	1.90262456632511e-13
XM_027366239.1	1.92070947398153e-13
XM_027379277.1	2.06610824492648e-13
XM_027357897.1	2.09208089000679e-13
XM_027379363.1	2.09208089000679e-13
XM_027357081.1	2.11690372129648e-13
