ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356131.1	-3.25481243989342	-0.0867550374975762	-3.83782910488932	0.002363686094076	0.00570822970682406	-1.4639623717931	320	415	373	496	294	155	2	0	0	35	3.06019564448629	3.57075446270614	3.19460208098755	3.52556664184604	2.77123119709113	2.03468852067935	0.202999314159166	0	0	1.65473559255511	Up_ovary_Down_muscle
XM_027356132.1	-3.89243538373501	-0.363650423810192	-4.39283572146533	0.000877290636920585	0.00249809255007865	-0.483024065480326	288	400	425	492	305	162	0	0	0	24	2.75417608003766	3.44169104839146	3.6399621566212	3.4971346527989	2.87491671807073	2.12657767967777	0	0	0	1.13467583489493	Up_ovary_Down_muscle
XM_027356133.1	-4.35848495558713	-0.519623336987413	-6.33188365675723	3.772398427972e-05	0.000203864250784708	2.57945751615092	325	408	372	458	368	95	2	0	0	2	3.10801120143139	3.51052486935929	3.18603746414844	3.25546274589816	3.46875197459026	1.24706715783573	0.202999314159166	0	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356134.1	-4.12938446702253	-0.738539944186962	-5.43238360222826	0.000152168212919557	0.000614808241345869	1.23314403659993	220	340	364	331	285	99	0	0	0	8	2.10388450558432	2.92543739113274	3.11752052943557	2.35274709365129	2.68639758901691	1.29957524869197	0	0	0	0.37822527829831	Up_ovary_Down_muscle
XM_027356135.1	-4.27650734365678	-1.09510526847946	-6.08208284965693	5.49448685031283e-05	0.000272332241135597	2.2196053965611	183	274	294	238	250	83	0	0	0	2	1.7500493841906	2.35755836814815	2.51799735069796	1.69170334830516	2.35648911317273	1.08954288526701	0	0	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356136.1	-3.44389053006597	-0.998308916103287	-5.15359470529525	0.00023991356300315	0.00088641173101863	0.793414097820411	183	215	221	224	164	89	0	2	0	2	1.7500493841906	1.84990893851041	1.89278032144303	1.59219138664015	1.54585685824131	1.16830502155137	0	0.155808142757615	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356143.1	3.43453718370079	2.81519537578266	6.32049458697633	3.8369183810041e-05	0.00020662508566729	2.27221469895026	224	269	248	394	214	4430	82	129	189	1196	2.1421369511404	2.31453723004326	2.12402497609896	2.80055092114383	2.01715468087586	58.1527106232872	8.32297188052579	10.0496252078661	17.8166908003488	56.5446791055974	Down_ovary_Up_muscle
XM_027356144.1	3.28056229917742	2.72529785373881	5.8730497084417	7.57638790569575e-05	0.000352994183071856	1.57643307833557	206	261	286	386	211	4090	65	110	188	1037	1.97000094613805	2.24570340907543	2.44948041598509	2.74368694304954	1.98887681151778	53.6895229005067	6.59747771017288	8.56944785166881	17.7224225950559	49.0274516994184	Down_ovary_Up_muscle
XM_027356154.1	-5.49110552750478	-0.393395091683653	-7.08817166872704	1.27155705328272e-05	8.46257498183342e-05	3.61581460887016	482	876	762	609	433	112	0	0	0	2	4.60941968950748	7.53730339597731	6.52623803140084	4.3287703324279	4.08143914401517	1.47022654397476	0	0	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356164.1	-2.20729979808219	-1.95214128252195	-3.79774751250865	0.00254222681825689	0.00606426578323173	-1.46864627756121	45	49	74	85	81	18	0	4	0	2	0.430340012505885	0.421607153427954	0.633781646094045	0.604179767251842	0.763502472667964	0.236286408853086	0	0.311616285515229	0	0.0945563195745775	Up_ovary_Down_muscle
XM_027356165.1	2.37928213380962	1.62958262139343	2.47975775434344	0.028979139656427	0.0472330100998052	-4.29493712707535	328	247	171	35	87	69	140	254	182	187	3.13670053559845	2.12524422238173	1.46454947948759	0.248779904162523	0.82005821138411	0.905764567270162	14.2099519911416	19.7876341302171	17.1568133632988	8.841015880223	Down_ovary_Up_muscle
XM_027356175.1	7.4590742325352	-0.904541525419837	7.38657429200691	8.44857251114271e-06	6.10227097771826e-05	3.98749899490376	10	6	10	3	0	193	147	172	148	94	0.0956311138901966	0.051625365725872	0.0856461683910871	0.0213239917853591	0	2.53351538381364	14.9204495906987	13.3995002771549	13.9516943833419	4.44414702000514	Down_ovary_Up_muscle
