ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027366620.1	3.58846079134749	4.48686770841277	1.90410887169667e-08	7.19211370457564e-08	13	46	18	62	226	23	3719	3710	1521	3553	3998	3084	1.10600763626691	3.28902279131483	1.63518876357711	2.34497363651599	11.0749604024537	1.02497654752295	49.4078044209382	88.4996487595714	33.8670783807446	25.6993893483112	25.3281480544198	24.6621632723962	Down_muscle_Up_hemocytes
XM_027366629.1	1.80510463894245	5.61713020302837	1.1693368403959e-05	3.21391828748848e-05	255	272	229	547	736	272	4235	6206	5265	6078	7145	5823	21.6947651729279	19.4481347660355	20.8032348255088	20.6887190189395	36.0671276823271	12.1214617794018	56.2629878254029	148.040113261968	117.232194394885	43.9630983560472	45.2650369806976	46.565426956927	Down_muscle_Up_hemocytes
XM_027366660.1	-10.6769341708822	17.2569109848593	2.15226663611861e-07	7.25567864657793e-07	5401401	6974136	6163767	2676439	2777569	2756092	11652	34143	7973	23	32	22	459537.750195364	498654.179428897	559940.141094855	101228.691850697	136112.684469394	122823.02881807	154.799606645005	814.459166468476	177.529399033318	0.166362497892248	0.202726547709213	0.175929828791412	Up_muscle_Down_hemocytes
XM_027366672.1	-8.98129204332997	2.00678439213965	1.02531694537957e-32	2.34303231250399e-31	75	146	191	62	91	180	0	0	0	3	4	2	6.38081328615526	10.4390723376514	17.3511696579571	2.34497363651599	4.45938671072251	8.02155558931001	0	0	0	0.021699456246815	0.0253408184636516	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027366673.1	-8.11199228435661	1.86523874352028	3.34592519058001e-24	4.24779808173138e-23	64	136	195	63	90	107	2	4	0	0	5	2	5.44496067085249	9.72406738301777	17.714544938752	2.38279579194367	4.41038246115413	4.76836915586761	0.0265704783118786	0.0954174110615325	0	0	0.0316760230795645	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027366700.1	-6.39184577023165	1.91479135273541	8.91217779684358e-27	1.36749567465476e-25	74	76	51	396	65	235	2	2	2	17	26	10	6.29573577567319	5.43403765521581	4.63303483013514	14.9775735493602	3.18527622194465	10.4725864638214	0.0265704783118786	0.0477087055307662	0.0445326474434511	0.122963585398618	0.164715320013735	0.0799681039960965	Up_muscle_Down_hemocytes
XM_027366701.1	-6.49434420456749	2.63560085953058	5.2129237491671e-21	5.2362468774012e-20	201	165	79	528	89	310	0	0	6	35	29	25	17.1005796068961	11.7975817514554	7.17666179569953	19.9700980658136	4.36137821158575	13.8149012927006	0	0	0.133597942330353	0.253160322879508	0.183720933861474	0.199920259990241	Up_muscle_Down_hemocytes
XM_027366703.1	-7.10594993337616	2.41743994363368	2.6462593288675e-29	4.78307636038382e-28	176	180	84	379	59	258	0	0	5	18	14	12	14.9736418448443	12.8700891834059	7.63088089669318	14.3345969070897	2.89125072453437	11.4975630113443	0	0	0.111331618608628	0.13019673748089	0.0886928646227805	0.0959617247953158	Up_muscle_Down_hemocytes
XM_027366706.1	2.73001346682164	1.79960292954977	7.64919051300937e-10	3.2936302488217e-09	18	3	9	23	29	11	372	412	311	616	734	579	1.53139518867726	0.214501486390098	0.817594381788554	0.869909574836579	1.421123237483	0.490206174902278	4.94210896600941	9.82799333933784	6.92482667745664	4.45562168267935	4.65004018808007	4.63015322137399	Down_muscle_Up_hemocytes
XM_027366707.1	2.72754290130972	2.46437602784197	4.38216621300124e-11	2.13145499915534e-10	19	6	11	45	51	27	589	721	441	1006	1145	921	1.61647269915933	0.429002972780196	0.999282022186011	1.70199699424548	2.49921672798734	1.2032333383965	7.82500586284824	17.1989883438412	9.81944876128096	7.2765509947653	7.25380928522026	7.36506237804049	Down_muscle_Up_hemocytes
XM_027366708.1	2.9558997425974	1.86377325714659	8.85016519837063e-08	3.11141659460299e-07	13	7	5	18	41	2	439	470	332	613	719	548	1.10600763626691	0.500503468243562	0.454219100993641	0.680798797698192	2.00917423230355	0.0891283954367778	5.83221998945735	11.2115457997301	7.39241947561288	4.43392222643253	4.55501211884137	4.38225209898609	Down_muscle_Up_hemocytes
XM_027366730.1	-8.51545692805251	6.53319664348985	4.29545750838275e-29	7.59239913463729e-28	977	876	988	11543	4529	4811	83	32	12	46	37	42	83.1207277409826	62.6344340259086	89.7536943563435	436.58114010168	221.94024629519	214.398355223169	1.10267484994296	0.76333928849226	0.267195884660706	0.332724995784497	0.234402570788777	0.335866036783605	Up_muscle_Down_hemocytes
XM_027366742.1	8.48586667487509	-1.07762920746706	2.87275910692516e-16	2.11037303624118e-15	0	0	0	0	0	0	66	52	41	91	68	76	0	0	0	0	0	0	0.876825784291993	1.24042634379992	0.912919272590747	0.658216839486722	0.430793913882077	0.607757590370333	Down_muscle_Up_hemocytes
XM_027366769.1	-5.31395352461859	5.77811839814753	1.43948730317978e-55	1.13013000115286e-53	1946	1302	1299	2152	1505	2496	198	99	103	424	506	319	165.560835398109	93.0936450933025	118.006122438148	81.3932784803616	73.7513956004107	111.232237505099	2.63047735287598	2.36158092377293	2.29343134333773	3.06685648288319	3.20561353565193	2.55098251747548	Up_muscle_Down_hemocytes
XM_027366777.1	1.82540411020246	3.21369951172523	0.00470106506594242	0.00878241308742557	16	36	3	282	55	147	655	298	316	2989	3260	2618	1.36124016771312	2.57401783668117	0.272531460596185	10.665847830605	2.69523372626086	6.55093706460317	8.70183164714023	7.10859712408417	7.03615829606527	21.61989157391	20.652767047876	20.9356496261781	Down_muscle_Up_hemocytes
XM_027366781.1	1.605214377743	1.16077155594329	1.8677289334991e-06	5.69350337350832e-06	17	22	9	17	24	19	336	171	109	419	441	340	1.44631767819519	1.57301090019405	0.817594381788554	0.642976642270515	1.1761019896411	0.84671975664939	4.4638403563956	4.07909432288051	2.42702928566808	3.03069072247183	2.79382523561759	2.71891553586728	Down_muscle_Up_hemocytes
XM_027366793.1	-3.03333450102287	2.73463062448009	6.32591573241752e-13	3.62854072737548e-12	201	279	180	134	140	144	135	48	93	179	199	147	17.1005796068961	19.9486382342791	16.3518876357711	5.06816882730876	6.86059493957309	6.41724447144801	1.7935072860518	1.14500893273839	2.07076810612048	1.29473422272663	1.26070571856667	1.17553112874262	Up_muscle_Down_hemocytes
XM_027366794.1	-2.00362050083802	5.47865829710812	4.69438498637015e-05	0.000119218187478823	1179	1602	1412	580	709	649	1228	1251	1018	1797	1919	1615	100.306384858361	114.543793732312	128.271474120604	21.9368501480529	34.7440129439809	28.9221643192344	16.3142736834934	29.8417953094943	22.6671175487166	12.9979742918422	12.1572576579368	12.9148487953696	Up_muscle_Down_hemocytes
XM_027366795.1	-2.43268866619933	5.09986045889231	2.23946072846919e-06	6.7510904457527e-06	1003	1290	1189	434	546	427	782	708	559	1054	1362	1053	85.3327430135164	92.2356391477421	108.013302216288	16.414815455612	26.7563202643351	19.0289124257521	10.3890570199445	16.8888817578912	12.4468749604446	7.62374229471434	8.62854868687336	8.42064135078896	Up_muscle_Down_hemocytes
XM_027366806.1	1.72315959862789	1.41965901067829	2.26829855492074e-06	6.83158781061915e-06	20	21	10	13	17	42	301	114	226	593	661	462	1.7015502096414	1.50151040473069	0.908438201987283	0.491688020559805	0.833072242662447	1.87169630417233	3.99885698593772	2.71939621525368	5.03218916110997	4.2892591847871	4.18757025111842	3.69452640461966	Down_muscle_Up_hemocytes
