ID	FDR
XM_027359427.1	4.23625418339214e-46
XM_027378519.1	4.64411879597402e-46
XM_027353421.1	4.98493999994056e-46
XM_027373748.1	5.33154946657524e-46
XM_027358144.1	5.8873011391247e-46
XM_027374252.1	6.79005870322271e-46
XM_027360832.1	7.01268978030665e-46
XM_027366270.1	8.73161505744359e-46
XM_027380539.1	1.13899362687221e-45
XM_027373475.1	1.2426213356006e-45
XM_027369958.1	1.27788655596472e-45
XM_027369966.1	1.35053905611589e-45
XM_027360950.1	1.43200750150552e-45
XM_027357490.1	1.46344018458988e-45
XM_027360613.1	1.49009427880854e-45
XM_027372898.1	1.49009427880854e-45
XM_027377164.1	1.5017333704088e-45
XM_027365597.1	1.74148759178899e-45
XR_003477463.1	1.83145191429512e-45
XM_027380041.1	1.87452709991846e-45
XM_027373517.1	1.98180000596067e-45
XM_027354718.1	2.03002570677875e-45
XM_027367228.1	2.13440689348753e-45
XM_027374374.1	2.58710281050593e-45
XM_027351143.1	2.63489114006232e-45
XM_027351265.1	2.63489114006232e-45
XM_027374916.1	3.09489980681602e-45
XM_027361190.1	3.54244836464375e-45
XM_027352580.1	3.66478032147663e-45
XM_027355645.1	5.27850022682322e-45
XM_027379671.1	6.33941438320315e-45
XM_027377734.1	6.40075259361534e-45
XM_027369957.1	6.51489997849868e-45
XM_027380950.1	7.15164570669175e-45
XM_027382406.1	8.12751837582213e-45
XM_027375194.1	8.36112533238808e-45
XM_027360831.1	1.0637728111309e-44
XM_027365607.1	1.1425811766529e-44
XM_027378231.1	1.2428593791153e-44
XM_027360144.1	1.24676586652834e-44
XM_027370163.1	1.43977770774631e-44
XM_027378234.1	1.44978656540618e-44
XM_027367620.1	1.46334096184306e-44
XM_027353079.1	1.50196202539449e-44
XM_027350630.1	1.58299541631137e-44
XM_027376739.1	1.62152083843824e-44
XM_027377442.1	1.63646786565685e-44
XM_027379807.1	1.80820303050032e-44
XM_027375238.1	2.15005434475295e-44
XM_027373794.1	2.26740997351561e-44
XM_027371818.1	2.34099241323094e-44
XM_027381821.1	2.40377100551989e-44
XM_027378228.1	2.81798527867647e-44
XM_027365498.1	2.85300067425232e-44
XM_027378299.1	2.94398738540115e-44
XM_027376721.1	3.34747585810298e-44
XM_027382680.1	3.82035933847386e-44
XM_027369411.1	4.85750109749719e-44
XM_027351590.1	5.49539187659491e-44
XM_027355653.1	6.11427482703055e-44
XM_027375720.1	6.13192872267579e-44
XM_027377444.1	6.38899194720281e-44
XM_027380544.1	6.97993374053957e-44
XM_027351217.1	8.35006331462487e-44
XM_027381055.1	8.35006331462487e-44
XM_027365614.1	8.47619268751219e-44
XM_027380441.1	1.02921796706902e-43
XM_027375195.1	1.06887019385489e-43
XM_027354612.1	1.09685638836062e-43
XM_027376310.1	1.18321071040999e-43
XM_027367434.1	1.41163804149788e-43
XM_027369863.1	1.46847572329303e-43
XM_027377624.1	1.46847572329303e-43
XM_027363946.1	1.53683831736394e-43
XM_027365037.1	1.59354876726235e-43
XM_027352730.1	1.85301106075666e-43
XM_027369550.1	1.88611442560825e-43
XM_027373518.1	1.90064043207729e-43
XM_027381814.1	1.9786564549188e-43
XM_027353422.1	2.34738513193427e-43
XM_027375771.1	2.69124047220079e-43
XM_027368290.1	2.72989627082383e-43
XM_027377688.1	2.82435894163429e-43
XM_027367677.1	2.95428358669737e-43
XM_027359027.1	3.4510302026158e-43
XM_027376409.1	3.56759141979975e-43
XM_027375193.1	3.57490220188139e-43
XM_027375188.1	3.76818572162251e-43
XM_027371473.1	3.87775420762191e-43
XM_027356769.1	4.01949398271433e-43
XM_027364399.1	4.13147765451872e-43
XM_027369414.1	4.34006321495893e-43
XM_027354676.1	6.23884504677889e-43
XM_027379070.1	6.55836789641757e-43
XM_027359062.1	7.24023303578118e-43
XM_027369774.1	7.30602189596111e-43
XM_027363789.1	7.9521053466765e-43
XM_027379514.1	7.9982891800933e-43
XM_027352116.1	8.75747283439556e-43
XM_027357934.1	9.2340016154442e-43
XM_027373826.1	9.57562104697082e-43
XM_027363769.1	9.58172471581036e-43
XM_027351285.1	1.02175241756426e-42
XR_003475024.1	1.09075847926679e-42
XM_027370874.1	1.28588938035473e-42
XM_027371933.1	1.36569855662098e-42
XM_027372109.1	1.45247516922669e-42
XM_027376438.1	1.45771254478806e-42
XM_027353720.1	1.47509777722315e-42
XM_027353372.1	1.5218785409655e-42
XR_003475559.1	1.67958689379905e-42
XM_027378756.1	1.70943206514223e-42
