ID	limma	DESeq2	edgeR	NOISeq
XM_027360472.1	1	1	1	1
XM_027360473.1	1	1	1	1
XM_027360480.1	1	1	1	1
XM_027360487.1	1	1	1	1
XM_027360491.1	1	1	1	1
XM_027360494.1	1	1	1	1
XM_027360501.1	1	1	1	1
XM_027360503.1	1	1	1	1
XM_027360514.1	1	1	1	1
XM_027360545.1	1	1	1	1
XM_027360568.1	1	1	1	1
XM_027360596.1	1	1	1	1
XM_027360619.1	1	1	1	1
XM_027360659.1	1	1	1	1
XM_027360670.1	1	1	1	1
XM_027360671.1	1	1	1	1
XM_027360672.1	1	1	1	1
XM_027360673.1	1	1	1	1
XM_027360674.1	1	1	1	1
XM_027360675.1	1	1	1	1
XM_027360676.1	1	1	1	1
XM_027360677.1	1	1	1	1
XM_027360678.1	1	1	1	1
XM_027360700.1	1	1	1	1
XM_027360701.1	1	1	1	1
XM_027360716.1	1	1	1	1
XM_027360719.1	1	1	1	1
XM_027360812.1	1	1	1	1
XM_027360856.1	1	1	1	1
XM_027360861.1	1	1	1	1
XM_027360884.1	1	1	1	1
XM_027360885.1	1	1	1	1
XM_027360886.1	1	1	1	1
XM_027360887.1	1	1	1	1
XM_027360888.1	1	1	1	1
XM_027360903.1	1	1	1	1
XM_027360905.1	1	1	1	1
XM_027360937.1	1	1	1	1
XM_027360966.1	1	1	1	1
XM_027361000.1	1	1	1	1
XM_027361001.1	1	1	1	1
XM_027361002.1	1	1	1	1
XM_027361003.1	1	1	1	1
XM_027361004.1	1	1	1	1
XM_027361005.1	1	1	1	1
XM_027361006.1	1	1	1	1
XM_027361007.1	1	1	1	1
XM_027361008.1	1	1	1	1
XM_027361022.1	1	1	1	1
XM_027361025.1	1	1	1	1
XM_027361051.1	1	1	1	1
XM_027361112.1	1	1	1	1
XM_027361126.1	1	1	1	1
XM_027361127.1	1	1	1	1
XM_027361149.1	1	1	1	1
XM_027361204.1	1	1	1	1
XM_027361207.1	1	1	1	1
XM_027361210.1	1	1	1	1
XM_027361214.1	1	1	1	1
XM_027361235.1	1	1	1	1
XM_027361248.1	1	1	1	1
XM_027361311.1	1	1	1	1
XM_027361326.1	1	1	1	1
XM_027361347.1	1	1	1	1
XM_027361348.1	1	1	1	1
XM_027361402.1	1	1	1	1
XM_027361403.1	1	1	1	1
XM_027361405.1	1	1	1	1
XM_027361406.1	1	1	1	1
XM_027361409.1	1	1	1	1
XM_027361417.1	1	1	1	1
XM_027361425.1	1	1	1	1
XM_027361428.1	1	1	1	1
XM_027361429.1	1	1	1	1
XM_027361437.1	1	1	1	1
XM_027361439.1	1	1	1	1
XM_027361440.1	1	1	1	1
XM_027361442.1	1	1	1	1
XM_027361443.1	1	1	1	1
XM_027361453.1	1	1	1	1
XM_027361465.1	1	1	1	1
XM_027361478.1	1	1	1	1
XM_027361479.1	1	1	1	1
XM_027361480.1	1	1	1	1
XM_027361500.1	1	1	1	1
XM_027361550.1	1	1	1	1
XM_027361553.1	1	1	1	1
XM_027361578.1	1	1	1	1
XM_027361591.1	1	1	1	1
XM_027361688.1	1	1	1	1
XM_027361742.1	1	1	1	1
XM_027361793.1	1	1	1	1
XM_027361798.1	1	1	1	1
XM_027361852.1	1	1	1	1
XM_027361907.1	1	1	1	1
XM_027361940.1	1	1	1	1
XM_027361943.1	1	1	1	1
XM_027361955.1	1	1	1	1
XM_027361961.1	1	1	1	1
XM_027361968.1	1	1	1	1
XM_027361980.1	1	1	1	1
XM_027362011.1	1	1	1	1
XM_027362020.1	1	1	1	1
XM_027362021.1	1	1	1	1
XM_027362035.1	1	1	1	1
XM_027362036.1	1	1	1	1
XM_027362049.1	1	1	1	1
XM_027362056.1	1	1	1	1
XM_027362097.1	1	1	1	1
XM_027362126.1	1	1	1	1
XM_027362127.1	1	1	1	1
XM_027362174.1	1	1	1	1
XM_027362179.1	1	1	1	1
XM_027362182.1	1	1	1	1
XM_027362209.1	1	1	1	1
XM_027362211.1	1	1	1	1
XM_027362214.1	1	1	1	1
XM_027362217.1	1	1	1	1
XM_027362219.1	1	1	1	1
XM_027362226.1	1	1	1	1
XM_027362237.1	1	1	1	1
XM_027362243.1	1	1	1	1
XM_027362292.1	1	1	1	1
XM_027362332.1	1	1	1	1
XM_027362336.1	1	1	1	1
XM_027362340.1	1	1	1	1
XM_027362400.1	1	1	1	1
XM_027362418.1	1	1	1	1
XM_027362420.1	1	1	1	1
XM_027362434.1	1	1	1	1
XM_027362439.1	1	1	1	1
XM_027362465.1	1	1	1	1
XM_027362477.1	1	1	1	1
XM_027362480.1	1	1	1	1
XM_027362482.1	1	1	1	1
XM_027362500.1	1	1	1	1
XM_027362529.1	1	1	1	1
XM_027362546.1	1	1	1	1
XM_027362583.1	1	1	1	1
XM_027362603.1	1	1	1	1
XM_027362656.1	1	1	1	1
XM_027362706.1	1	1	1	1
XM_027362710.1	1	1	1	1
XM_027362711.1	1	1	1	1
XM_027362714.1	1	1	1	1
XM_027362736.1	1	1	1	1
XM_027362738.1	1	1	1	1
XM_027362823.1	1	1	1	1
XM_027362824.1	1	1	1	1
XM_027362843.1	1	1	1	1
XM_027362937.1	1	1	1	1
XM_027362938.1	1	1	1	1
XM_027362943.1	1	1	1	1
XM_027362951.1	1	1	1	1
XM_027362972.1	1	1	1	1
XM_027362976.1	1	1	1	1
XM_027362977.1	1	1	1	1
XM_027363011.1	1	1	1	1
XM_027363019.1	1	1	1	1
XM_027363021.1	1	1	1	1
XM_027363023.1	1	1	1	1
XM_027363029.1	1	1	1	1
XM_027363062.1	1	1	1	1
XM_027363086.1	1	1	1	1
XM_027363087.1	1	1	1	1
XM_027363088.1	1	1	1	1
XM_027363097.1	1	1	1	1
XM_027363100.1	1	1	1	1
XM_027363153.1	1	1	1	1
XM_027363168.1	1	1	1	1
XM_027363177.1	1	1	1	1
XM_027363243.1	1	1	1	1
XM_027363313.1	1	1	1	1
XM_027363358.1	1	1	1	1
XM_027363492.1	1	1	1	1
XM_027363523.1	1	1	1	1
XM_027363525.1	1	1	1	1
XM_027363570.1	1	1	1	1
XM_027363596.1	1	1	1	1
XM_027363609.1	1	1	1	1
XM_027363626.1	1	1	1	1
XM_027363646.1	1	1	1	1
XM_027363716.1	1	1	1	1
XM_027363735.1	1	1	1	1
XM_027363736.1	1	1	1	1
XM_027363737.1	1	1	1	1
XM_027363738.1	1	1	1	1
XM_027363778.1	1	1	1	1
XM_027363799.1	1	1	1	1
XM_027363811.1	1	1	1	1
XM_027363812.1	1	1	1	1
XM_027363840.1	1	1	1	1
XM_027363841.1	1	1	1	1
XM_027363895.1	1	1	1	1
XM_027363896.1	1	1	1	1
XM_027363897.1	1	1	1	1
XM_027363898.1	1	1	1	1
XM_027363899.1	1	1	1	1
XM_027363912.1	1	1	1	1
XM_027363930.1	1	1	1	1
XM_027363967.1	1	1	1	1
XM_027364013.1	1	1	1	1
XM_027364014.1	1	1	1	1
XM_027364028.1	1	1	1	1
XM_027364030.1	1	1	1	1
XM_027364096.1	1	1	1	1
XM_027364183.1	1	1	1	1
XM_027364184.1	1	1	1	1
XM_027364193.1	1	1	1	1
XM_027364195.1	1	1	1	1
XM_027364237.1	1	1	1	1
XM_027364286.1	1	1	1	1
XM_027364304.1	1	1	1	1
XM_027364306.1	1	1	1	1
XM_027364322.1	1	1	1	1
XM_027364342.1	1	1	1	1
