ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027369199.1	7.7791845750329	0.595471280373697	10.4871109491799	8.31037346666218e-08	1.21251581746998e-06	8.23221310404869	6	3	2	4	0	10	36	912	1782	813	1606	1622	0.153617356960789	0.0906517641421189	0.0477770559176694	0.212594414335573	0	0.291777706953309	10.4452084596661	12.8991085630257	22.0846546475417	17.4534387505916	53.3475693429469	38.1206183631938	Down_hep_Up_gills
XM_027369200.1	-4.14522566462268	6.77643866610371	-10.1043441797006	1.29448533849354e-07	1.67190516912251e-06	7.97326011676591	11107	12336	9500	21258	27091	15954	51	1969	1985	1500	824	1207	284.371330627248	372.760054152393	226.94101560893	1129.8330149864	928.329125897024	465.502153673309	14.7973786511937	27.8490622374975	24.6004710860664	32.2019165140066	27.3713556280126	28.3671925797626	Up_hep_Down_gills
XM_027369202.1	-4.2770798595769	7.15952515327568	-9.97859512047728	1.50170920494544e-07	1.88482241943546e-06	7.81502651711912	14765	17480	13114	30242	36413	22159	48	2651	2632	2003	1046	1485	378.026712587675	528.197612401413	313.274155652159	1607.3200695841	1247.76672921961	646.550220837837	13.9269446128882	37.4951061409882	32.6188614098371	43.0002925183701	34.7456771685694	34.9008127431214	Up_hep_Down_gills
XM_027369203.1	-4.20084863536191	6.81424425191349	-9.75135053157142	1.97128838452047e-07	2.34232953427362e-06	7.54541095576116	11224	12994	10340	23946	27529	17254	38	2145	2260	1655	773	1201	287.366869087983	392.643007754231	247.007379094351	1272.69646141991	943.338101466139	503.433255577239	11.0254978185365	30.3383638900112	28.0085968032796	35.5294478871206	25.6772547335603	28.2261791949419	Up_hep_Down_gills
XM_027369236.1	-10.2403420060333	1.197789451243	-12.445634394258	1.03728285228552e-08	3.16252796795202e-07	10.0493141989589	2668	2020	3248	2023	3666	2012	0	8	0	0	2	36	68.3085180618976	61.03885452236	77.5899388102952	107.519625050216	125.623069489443	58.7056746390058	0	0.113150075114261	0	0	0.0664353291942053	0.846080308924154	Up_hep_Down_gills
XM_027369246.1	-10.4263341607103	0.960353860281162	-15.3111071552549	7.79368646542942e-10	1.12152702376512e-07	12.1210742560372	2321	3911	2830	1887	2423	1244	0	4	4	0	0	9	59.4243142509986	118.179683186609	67.6045341235023	100.291414962807	83.0291045752644	36.2971467449916	0	0.0565750375571305	0.0495727377049196	0	0	0.211520077231039	Up_hep_Down_gills
XM_027369269.1	1.99514631798885	7.8477967182068	9.39667865457337	3.04428725130853e-07	3.31235077036573e-06	7.07032368537674	3212	2694	6108	2291	4469	4650	1221	31556	42014	19750	14750	22458	82.2364917596758	81.4052841996228	145.911128772562	121.763450810699	153.139524699487	135.676633733289	354.266653590343	446.320471288202	520.687250483623	423.991900767754	489.960552807264	527.813099383852	Down_hep_Up_gills
XM_027369287.1	-13.0914100425982	5.49313224038785	-9.64807782376261	2.23437390909042e-07	2.5863380256475e-06	7.48385778516793	97467	175240	124937	107969	215855	65589	0	0	5	132	134	1041	2495.43715514954	5295.2717160883	2984.56101759293	5738.40158034937	7396.71785724049	1913.74080213606	0	0	0.0619659221311495	2.83376865323258	4.45116705601176	24.4658222663901	Up_hep_Down_gills
XM_027369289.1	-13.381849405795	6.23509483486082	-9.4853183573829	2.72780799318002e-07	3.02478326339405e-06	7.29658468857814	175089	226616	199374	299556	518183	125580	0	0	29	142	149	1645	4482.78490215127	6847.7133942768	4762.75137326471	15920.9830951767	17756.6118432209	3664.14444391965	0	0	0.359402348360667	3.04844809665929	4.9494320249683	38.6611696716732	Up_hep_Down_gills
XM_027369290.1	-12.8925611378104	4.01708780690838	-8.47520334795298	1.00008765351185e-06	8.94746334722856e-06	6.01643351558294	21377	26262	18714	136071	78319	48587	0	0	2	22	10	482	547.313039958465	793.565543300109	447.049912221633	7231.98363826394	2683.76246026832	1417.66034477404	0	0	0.0247863688524598	0.472294775538763	0.332176645971027	11.3280752472623	Up_hep_Down_gills
XM_027369291.1	-12.1095031545379	2.00796610152706	-10.4363916234038	8.80645250596333e-08	1.26844746637098e-06	8.20938241523745	3592	7113	5458	9744	20488	14202	0	0	0	4	2	38	91.9655910338591	214.935332780964	130.38358559932	517.879993321456	702.063679132488	414.382699415089	0	0	0	0.0858717773706843	0.0664353291942053	0.893084770531052	Up_hep_Down_gills
XM_027369300.1	-8.8448355536693	-1.0448441103343	-10.1976805021423	1.16047878587073e-07	1.53616873468064e-06	7.92546803992895	138	511	338	430	554	249	0	0	0	0	0	4	3.53319921009815	15.4410171588742	8.07432245008614	22.8538995410741	18.9839554002049	7.26526490313739	0	0	0	0	0	0.0940089232137949	Up_hep_Down_gills
XM_027369301.1	-8.07158299722637	-1.95530409313402	-10.1263556880857	1.26146051130486e-07	1.63366395803922e-06	7.81728334400556	66	234	128	137	309	77	0	0	0	0	0	0	1.68979092656868	7.07083760308527	3.05773157873084	7.28135869099338	10.5885238604031	2.24668834354048	0	0	0	0	0	0	Up_hep_Down_gills
